sep=,
vehicle_count,fps
0,740
0,44
0,44
0,42
0,42
0,44
0,44
0,42
0,46
0,44
0,42
0,40
0,42
0,40
0,8
0,40
0,38
0,36
0,40
0,42
0,52
0,68
0,64
0,68
0,68
0,58
0,60
0,66
0,64
0,58
0,68
0,68
0,68
0,62
0,58
0,58
0,54
0,62
0,64
0,62
0,58
0,64
0,60
0,60
0,64
0,44
0,2
0,2
0,2
0,28
0,60
0,54
0,62
0,60
0,62
0,56
0,64
0,58
0,64
0,64
0,64
0,64
0,66
0,58
0,64
0,62
0,66
0,64
0,62
0,64
0,66
0,62
0,64
0,64
0,62
0,64
0,64
0,58
0,66
0,64
0,62
0,62
0,62
0,64
0,64
0,64
0,60
0,62
0,64
0,62
0,52
0,62
0,62
0,62
0,64
0,64
0,64
0,60
0,64
0,62
0,64
0,62
0,64
0,62
0,60
0,66
0,64
0,62
0,64
0,60
0,64
0,64
0,64
0,62
0,62
0,62
0,64
0,62
0,62
0,64
0,54
0,58
0,60
0,62
0,60
0,62
0,58
0,62
0,62
0,62
0,60
0,64
0,56
0,64
0,62
0,64
0,62
0,52
0,58
0,54
0,60
0,54
0,60
0,56
0,52
0,56
0,52
0,54
0,40
0,50
0,44
0,46
0,50
0,54
0,52
0,62
0,58
0,58
0,66
0,60
0,52
0,64
0,62
0,60
0,62
0,62
0,60
0,62
0,60
0,58
0,62
0,60
0,58
0,64
0,60
0,64
0,58
0,64
0,60
0,60
0,62
0,62
0,62
0,62
0,66
0,52
0,52
0,52
0,56
0,62
0,52
0,60
0,64
0,62
0,64
0,64
0,66
0,64
0,60
0,62
0,64
0,64
0,66
0,64
0,60
0,64
0,64
0,64
0,64
0,58
0,58
0,56
0,62
0,58
0,56
0,52
0,60
0,62
0,64
0,60
0,50
0,56
0,60
0,48
0,62
0,58
0,62
0,60
0,66
0,60
0,64
0,62
0,60
0,60
0,66
0,62
0,64
0,64
0,64
0,58
0,56
0,48
0,50
0,50
0,62
0,52
0,64
0,48
0,50
0,54
0,64
0,62
0,64
0,64
0,64
0,64
0,62
0,60
0,64
0,64
0,58
0,60
0,62
0,62
0,64
0,64
0,64
0,64
0,62
0,60
0,62
0,42
0,48
0,56
0,62
0,58
0,64
0,62
0,64
0,62
0,58
0,62
0,64
0,60
0,60
0,60
0,64
0,62
0,58
0,56
0,54
0,62
0,64
0,64
0,56
0,58
0,64
0,56
0,62
0,62
0,64
0,64
0,60
0,60
0,50
0,50
0,62
0,64
0,60
0,48
0,34
0,58
0,56
0,54
0,52
0,54
0,52
0,52
0,56
0,54
0,46
0,44
0,62
0,54
0,60
0,62
0,64
0,58
0,60
0,54
0,62
0,58
0,48
0,62
0,64
0,60
0,66
0,58
0,62
0,54
0,56
0,58
0,62
0,56
0,60
0,50
0,56
0,58
0,58
0,56
0,60
0,54
0,56
0,58
0,58
0,54
0,58
0,60
0,64
0,62
0,64
0,64
0,62
0,62
0,58
0,54
0,62
0,62
0,58
0,64
0,58
0,48
0,52
0,54
0,64
0,64
0,62
0,62
0,64
0,64
0,60
0,62
0,58
0,62
0,62
0,64
0,62
0,62
0,62
0,58
0,60
0,60
0,48
0,60
0,62
0,62
0,64
0,62
0,54
0,62
0,62
0,60
0,62
0,58
0,64
0,60
0,58
0,54
0,58
0,56
0,62
0,52
0,58
0,56
0,56
0,62
0,66
0,62
0,54
0,58
0,58
0,58
0,60
0,56
0,52
0,60
0,58
0,58
0,64
0,58
0,58
0,58
0,64
0,64
0,64
0,64
0,58
0,66
0,60
0,60
0,64
0,52
0,44
0,48
0,62
0,16
0,56
0,56
0,56
0,64
0,60
0,60
0,58
0,58
0,56
0,64
0,62
0,64
0,48
0,46
0,50
0,56
0,60
0,58
0,62
0,62
0,58
0,64
0,62
0,64
0,62
0,60
0,60
0,62
0,62
0,64
0,64
0,60
0,62
0,64
0,62
0,62
0,64
0,62
0,60
0,64
0,64
0,58
0,56
0,56
0,60
0,62
0,60
0,62
0,56
0,64
0,60
0,64
0,38
0,62
0,58
0,58
0,60
0,62
0,62
0,62
0,56
0,64
0,64
0,64
0,62
0,64
0,58
0,52
0,60
0,62
0,64
0,64
0,58
0,62
0,62
0,62
0,62
0,62
0,62
0,58
0,62
0,56
0,64
0,60
0,64
0,62
0,64
0,62
0,64
0,62
0,62
0,64
0,60
0,62
0,62
0,60
0,62
0,64
0,62
0,58
0,56
0,60
0,52
0,58
0,46
0,44
0,48
0,54
0,52
0,40
0,54
0,50
0,48
0,42
0,54
0,58
0,58
0,62
0,64
0,58
0,60
0,62
0,62
0,56
0,60
0,62
0,62
0,54
0,64
0,62
0,64
0,60
0,66
0,62
0,64
0,60
0,62
0,62
0,64
0,64
0,64
0,64
0,62
0,64
0,64
0,62
0,62
0,62
0,60
0,64
0,64
0,62
0,62
0,58
0,58
0,62
0,52
0,56
0,46
0,48
0,54
0,58
0,64
0,64
0,64
0,62
0,60
0,62
0,58
0,56
0,52
0,56
0,52
0,54
0,52
0,58
0,50
0,48
0,46
0,58
0,52
0,42
0,54
0,54
0,46
0,56
0,56
0,48
0,42
0,54
0,54
0,56
0,56
0,54
0,54
0,52
0,58
0,52
0,64
0,62
0,64
0,60
0,58
0,52
0,56
0,58
0,50
0,56
0,58
0,50
0,50
0,46
0,52
0,54
0,52
0,44
0,56
0,58
0,56
0,48
0,56
0,56
0,48
0,56
0,58
0,58
0,62
0,60
0,50
0,58
0,48
0,58
0,54
0,50
0,62
0,62
0,62
0,60
0,64
0,54
0,46
0,50
0,50
0,52
0,48
0,44
0,56
0,54
0,46
0,48
0,48
0,50
0,52
0,58
0,60
0,60
0,58
0,52
0,46
0,58
0,58
0,62
0,64
0,64
0,60
0,64
0,64
0,64
0,62
0,60
0,62
0,64
0,64
0,62
0,64
0,62
0,62
0,64
0,62
0,62
0,62
0,62
0,64
0,62
0,58
0,60
0,60
0,56
0,58
0,54
0,56
0,52
0,50
0,52
0,52
0,50
0,50
0,50
0,52
0,52
0,52
0,50
0,46
0,54
0,56
0,50
0,50
0,54
0,56
0,44
0,50
0,48
0,50
0,54
0,54
0,56
0,58
0,60
0,48
0,54
0,44
0,50
0,58
0,58
0,50
0,50
0,46
0,46
0,48
0,50
0,52
0,42
0,58
0,60
0,60
0,58
0,62
0,46
0,58
0,48
0,42
0,56
0,56
0,48
0,54
0,52
0,56
0,54
0,50
0,52
0,54
0,54
0,58
0,54
0,46
0,58
0,54
0,58
0,52
0,54
0,56
0,54
0,54
0,54
0,56
0,56
0,54
0,58
0,50
0,54
0,54
0,52
0,52
0,50
0,54
0,58
0,50
0,58
0,60
0,56
0,52
0,60
0,50
0,56
0,54
0,56
0,48
0,58
0,54
0,52
0,52
0,52
0,56
0,52
0,48
0,58
0,58
0,50
0,46
0,48
0,40
0,42
0,54
0,48
0,44
0,56
0,2
0,52
0,60
